# 2026-09-18 07:17:38  anchor_train.py --out runs/C_pf_far_ep250 --row 1.0 --n-move 5 --epoch-len 1150 --epochs 250 --eval-every 10 --tta 8 --seed 1 --pf-channels 2 --far-anchor 0.6
grid: 256 rows x 336 cols (row 1.0 ft, colw 32.0 ft), state grid 64 bins of 4.0 ft, stem_stride 1, arch effnet, GR prefilter 0 ft
wells: 773 total -> 618 train / 155 holdout (first holdout d07aed8f)
wells: cache hit C:\Users\sudha\OneDrive\Documents\GitHub\Erudition\kaggle2ndplace\cache\wells__773_cf8a82a2.npz
scored rows in holdout: 754,122
model: GR2TVTAnchorNet 3.74M params, n_move=5, dzl_head=True, pretrained=True
schedule: 250 epochs x 95 steps (batch 6 x accum 2), lr 0.001, warmup 200
epoch   0/250  loss 2.4756  ce 1.3572  huber 0.0416  dzl 1.0768  oov 0.00010  lr 4.80e-04  50s
epoch   1/250  loss 1.3845  ce 0.5901  huber 0.0421  dzl 0.7523  oov 0.00015  lr 9.55e-04  30s
epoch   2/250  loss 1.0129  ce 0.5404  huber 0.0416  dzl 0.4309  oov 0.00008  lr 1.00e-03  29s
epoch   3/250  loss 0.9752  ce 0.5255  huber 0.0418  dzl 0.4079  oov 0.00011  lr 1.00e-03  29s
epoch   4/250  loss 0.9156  ce 0.4847  huber 0.0419  dzl 0.3889  oov 0.00009  lr 1.00e-03  29s
epoch   5/250  loss 0.8821  ce 0.4588  huber 0.0420  dzl 0.3812  oov 0.00007  lr 1.00e-03  29s
epoch   6/250  loss 0.8617  ce 0.4436  huber 0.0418  dzl 0.3763  oov 0.00010  lr 1.00e-03  29s
epoch   7/250  loss 0.8507  ce 0.4382  huber 0.0418  dzl 0.3708  oov 0.00013  lr 1.00e-03  29s
epoch   8/250  loss 0.8398  ce 0.4286  huber 0.0418  dzl 0.3694  oov 0.00009  lr 1.00e-03  29s
epoch   9/250  loss 0.8354  ce 0.4308  huber 0.0418  dzl 0.3627  oov 0.00010  lr 1.00e-03  29s  | holdout pooled RMSE 12.5413 ft
epoch  10/250  loss 0.8336  ce 0.4314  huber 0.0417  dzl 0.3605  oov 0.00009  lr 1.00e-03  29s
epoch  11/250  loss 0.8231  ce 0.4225  huber 0.0416  dzl 0.3590  oov 0.00008  lr 1.00e-03  30s
epoch  12/250  loss 0.8097  ce 0.4154  huber 0.0417  dzl 0.3526  oov 0.00012  lr 1.00e-03  30s
epoch  13/250  loss 0.8062  ce 0.4115  huber 0.0414  dzl 0.3534  oov 0.00013  lr 1.00e-03  30s
epoch  14/250  loss 0.8006  ce 0.4022  huber 0.0400  dzl 0.3585  oov 0.00011  lr 1.00e-03  30s
epoch  15/250  loss 0.7923  ce 0.3984  huber 0.0385  dzl 0.3554  oov 0.00010  lr 1.00e-03  30s
epoch  16/250  loss 0.7671  ce 0.3834  huber 0.0370  dzl 0.3466  oov 0.00011  lr 1.00e-03  29s
epoch  17/250  loss 0.7644  ce 0.3857  huber 0.0361  dzl 0.3425  oov 0.00009  lr 1.00e-03  29s
epoch  18/250  loss 0.7529  ce 0.3764  huber 0.0350  dzl 0.3415  oov 0.00012  lr 1.00e-03  29s
epoch  19/250  loss 0.7541  ce 0.3794  huber 0.0348  dzl 0.3398  oov 0.00008  lr 1.00e-03  29s  | holdout pooled RMSE 8.7215 ft
epoch  20/250  loss 0.7366  ce 0.3702  huber 0.0337  dzl 0.3327  oov 0.00010  lr 1.00e-03  29s
epoch  21/250  loss 0.7340  ce 0.3705  huber 0.0337  dzl 0.3298  oov 0.00008  lr 1.00e-03  29s
epoch  22/250  loss 0.7371  ce 0.3685  huber 0.0329  dzl 0.3356  oov 0.00011  lr 1.00e-03  29s
epoch  23/250  loss 0.7338  ce 0.3675  huber 0.0330  dzl 0.3333  oov 0.00014  lr 1.00e-03  29s
epoch  24/250  loss 0.7213  ce 0.3628  huber 0.0328  dzl 0.3257  oov 0.00010  lr 1.00e-03  29s
epoch  25/250  loss 0.7199  ce 0.3609  huber 0.0326  dzl 0.3264  oov 0.00014  lr 1.00e-03  29s
epoch  26/250  loss 0.7194  ce 0.3589  huber 0.0316  dzl 0.3289  oov 0.00009  lr 1.00e-03  29s
epoch  27/250  loss 0.7222  ce 0.3604  huber 0.0315  dzl 0.3304  oov 0.00010  lr 1.00e-03  29s
epoch  28/250  loss 0.7200  ce 0.3540  huber 0.0318  dzl 0.3342  oov 0.00010  lr 1.00e-03  29s
epoch  29/250  loss 0.7066  ce 0.3521  huber 0.0311  dzl 0.3235  oov 0.00008  lr 1.00e-03  29s  | holdout pooled RMSE 7.1641 ft
epoch  30/250  loss 0.7068  ce 0.3536  huber 0.0311  dzl 0.3221  oov 0.00011  lr 1.00e-03  29s
epoch  31/250  loss 0.7039  ce 0.3500  huber 0.0312  dzl 0.3226  oov 0.00014  lr 1.00e-03  28s
epoch  32/250  loss 0.7136  ce 0.3563  huber 0.0315  dzl 0.3258  oov 0.00009  lr 1.00e-03  28s
epoch  33/250  loss 0.7102  ce 0.3547  huber 0.0308  dzl 0.3247  oov 0.00012  lr 1.00e-03  29s
epoch  34/250  loss 0.6955  ce 0.3445  huber 0.0305  dzl 0.3204  oov 0.00011  lr 1.00e-03  29s
epoch  35/250  loss 0.6905  ce 0.3440  huber 0.0301  dzl 0.3164  oov 0.00012  lr 1.00e-03  30s
epoch  36/250  loss 0.6893  ce 0.3444  huber 0.0302  dzl 0.3147  oov 0.00008  lr 1.00e-03  29s
epoch  37/250  loss 0.6857  ce 0.3416  huber 0.0298  dzl 0.3144  oov 0.00007  lr 1.00e-03  29s
epoch  38/250  loss 0.6871  ce 0.3444  huber 0.0300  dzl 0.3127  oov 0.00011  lr 1.00e-03  28s
epoch  39/250  loss 0.6792  ce 0.3396  huber 0.0301  dzl 0.3095  oov 0.00013  lr 1.00e-03  28s  | holdout pooled RMSE 7.2256 ft
epoch  40/250  loss 0.6878  ce 0.3426  huber 0.0300  dzl 0.3152  oov 0.00009  lr 1.00e-03  28s
epoch  41/250  loss 0.6826  ce 0.3398  huber 0.0296  dzl 0.3132  oov 0.00011  lr 1.00e-03  29s
epoch  42/250  loss 0.6792  ce 0.3413  huber 0.0296  dzl 0.3083  oov 0.00009  lr 1.00e-03  29s
epoch  43/250  loss 0.6831  ce 0.3425  huber 0.0298  dzl 0.3109  oov 0.00011  lr 1.00e-03  29s
epoch  44/250  loss 0.6762  ce 0.3363  huber 0.0296  dzl 0.3103  oov 0.00013  lr 1.00e-03  28s
epoch  45/250  loss 0.6731  ce 0.3355  huber 0.0294  dzl 0.3082  oov 0.00014  lr 1.00e-03  29s
epoch  46/250  loss 0.6691  ce 0.3353  huber 0.0292  dzl 0.3046  oov 0.00016  lr 1.00e-03  29s
epoch  47/250  loss 0.6660  ce 0.3298  huber 0.0287  dzl 0.3075  oov 0.00009  lr 1.00e-03  29s
epoch  48/250  loss 0.6684  ce 0.3321  huber 0.0289  dzl 0.3075  oov 0.00014  lr 1.00e-03  29s
epoch  49/250  loss 0.6702  ce 0.3340  huber 0.0288  dzl 0.3075  oov 0.00012  lr 1.00e-03  29s  | holdout pooled RMSE 6.6712 ft
epoch  50/250  loss 0.6683  ce 0.3339  huber 0.0289  dzl 0.3055  oov 0.00008  lr 1.00e-03  29s
epoch  51/250  loss 0.6570  ce 0.3280  huber 0.0283  dzl 0.3007  oov 0.00009  lr 1.00e-03  29s
epoch  52/250  loss 0.6583  ce 0.3291  huber 0.0285  dzl 0.3007  oov 0.00006  lr 1.00e-03  29s
epoch  53/250  loss 0.6461  ce 0.3223  huber 0.0281  dzl 0.2957  oov 0.00012  lr 1.00e-03  29s
epoch  54/250  loss 0.6553  ce 0.3259  huber 0.0282  dzl 0.3012  oov 0.00008  lr 1.00e-03  29s
epoch  55/250  loss 0.6494  ce 0.3246  huber 0.0278  dzl 0.2970  oov 0.00009  lr 1.00e-03  29s
epoch  56/250  loss 0.6550  ce 0.3276  huber 0.0280  dzl 0.2994  oov 0.00008  lr 1.00e-03  29s
epoch  57/250  loss 0.6481  ce 0.3249  huber 0.0278  dzl 0.2954  oov 0.00008  lr 1.00e-03  29s
epoch  58/250  loss 0.6427  ce 0.3204  huber 0.0279  dzl 0.2944  oov 0.00009  lr 1.00e-03  29s
epoch  59/250  loss 0.6438  ce 0.3226  huber 0.0272  dzl 0.2940  oov 0.00011  lr 1.00e-03  29s  | holdout pooled RMSE 6.5653 ft
epoch  60/250  loss 0.6382  ce 0.3168  huber 0.0273  dzl 0.2941  oov 0.00008  lr 1.00e-03  29s
epoch  61/250  loss 0.6485  ce 0.3235  huber 0.0275  dzl 0.2975  oov 0.00013  lr 1.00e-03  29s
epoch  62/250  loss 0.6420  ce 0.3179  huber 0.0274  dzl 0.2966  oov 0.00014  lr 1.00e-03  29s
epoch  63/250  loss 0.6418  ce 0.3208  huber 0.0274  dzl 0.2936  oov 0.00008  lr 1.00e-03  29s
epoch  64/250  loss 0.6388  ce 0.3191  huber 0.0270  dzl 0.2927  oov 0.00007  lr 1.00e-03  29s
epoch  65/250  loss 0.6333  ce 0.3162  huber 0.0272  dzl 0.2900  oov 0.00012  lr 1.00e-03  29s
epoch  66/250  loss 0.6399  ce 0.3195  huber 0.0270  dzl 0.2934  oov 0.00012  lr 1.00e-03  29s
epoch  67/250  loss 0.6336  ce 0.3162  huber 0.0268  dzl 0.2906  oov 0.00008  lr 1.00e-03  29s
epoch  68/250  loss 0.6348  ce 0.3144  huber 0.0269  dzl 0.2934  oov 0.00011  lr 1.00e-03  29s
epoch  69/250  loss 0.6371  ce 0.3183  huber 0.0269  dzl 0.2919  oov 0.00012  lr 1.00e-03  28s  | holdout pooled RMSE 6.4933 ft
